"","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOLS"
"TEP1",-0.270733587794777,3.38864591919072,-3.92331148968865,0.000797959509391108,0.252583959330845,-0.52072435538411,"TEP1"
"PTGER4P2-CDK2AP2P2",-0.217198887994688,3.34781471080145,-3.910769351239,0.000822052965216278,0.256383813033924,-0.545050568524708,"PTGER4P2-CDK2AP2P2"
"CHMP5",0.91695495486973,7.2900282854548,3.90118560666117,0.000840949567688704,0.258476209152783,-0.563638849945846,"CHMP5"
"ETS1",1.11596708232722,9.52223671467521,3.88785062239276,0.000867962874313328,0.260666658594517,-0.589502677881724,"ETS1"
"EAF1",0.750515169720418,5.45260156653138,3.88314889593094,0.000877691544031941,0.260666658594517,-0.598621772952893,"EAF1"
"RBM7",0.416360460473697,3.8483202010116,3.87767539554953,0.000889153676996708,0.260666658594517,-0.609237622649572,"RBM7"
"SCAMP1",0.698872814458438,5.14733349214244,3.87194875641027,0.000901305087040347,0.260666658594517,-0.620344272742138,"SCAMP1"
"PBRM1",0.570016999453526,4.29744209175435,3.85976072141063,0.000927718737726086,0.260666658594517,-0.64398192199054,"PBRM1"
"FLI1",0.848483088934773,6.26335418840947,3.84204413321113,0.000967489887165683,0.260666658594517,-0.678339535734789,"FLI1"
"LOC100131257",1.15063704317506,5.16425468810665,3.84039859747226,0.000971268661299322,0.260666658594517,-0.681530548445211,"LOC100131257"
"DAAM1",0.820886569714844,5.24915204411346,3.83709654656614,0.00097889566071065,0.260666658594517,-0.687933773169289,"DAAM1"
"IFIH1",0.583377653438779,4.67885536894146,3.83500369438935,0.00098376042066974,0.260666658594517,-0.691992095134049,"IFIH1"
"HMGB2",0.822890932550069,8.74860082823109,3.83186798517434,0.000991094194612953,0.260666658594517,-0.698072557867023,"HMGB2"
"CYLD",0.706891383647627,6.8321772971104,3.83013689290441,0.000995166072324063,0.260666658594517,-0.701429271172721,"CYLD"
"CLTC",0.334758782587992,3.80049139922554,3.82905792591046,0.000997712411729937,0.260666658594517,-0.70352144687012,"CLTC"
"HIVEP2",0.961799166638086,6.1116882910175,3.82478559810805,0.00100785863847371,0.260666658594517,-0.711805571638775,"HIVEP2"
"FGFR1OP2",0.571175619720769,4.5967597116449,3.81432561177549,0.00103313384181491,0.26117885372689,-0.732086596223043,"FGFR1OP2"
"ENPP7",-0.212520295130796,3.29081508249393,-3.81378004619651,0.00103446924335434,0.26117885372689,-0.733144356569471,"ENPP7"
"RWDD2A",0.539071856016366,4.29320580266018,3.78943760137648,0.00109582747504688,0.26968696068918,-0.780335144000897,"RWDD2A"
"TAF15",1.13410366090991,7.30370322992361,3.78584431118201,0.00110518529965431,0.26968696068918,-0.787300241194298,"TAF15"
"KLHL3",0.951829903701448,5.69838979724626,3.77736003796808,0.00112759584561912,0.26968696068918,-0.803744775766701,"KLHL3"
"YEATS4",0.751041707186882,5.16171233756096,3.77682885096732,0.00112901381679155,0.26968696068918,-0.804774291020995,"YEATS4"
"FCHSD1",-0.324610546232602,3.54958547453945,-3.76910479697783,0.00114983341473786,0.26968696068918,-0.819743883747617,"FCHSD1"
"CPNE8",0.888661742783913,5.33192599148074,3.76300644520331,0.00116653931866832,0.26968696068918,-0.831561809943385,"CPNE8"
"BMPR1A",0.338932760670082,3.66287305712115,3.76186607266034,0.00116968984257241,0.26968696068918,-0.833771625663006,"BMPR1A"
"RASA1",0.688085686341566,5.49205318427898,3.75975143359548,0.00117555430279928,0.26968696068918,-0.837869292012819,"RASA1"
"IRF2BPL",0.963058416074976,5.04341426019174,3.75721946069384,0.00118261445417266,0.26968696068918,-0.842775505297555,"IRF2BPL"
"ARHGAP21",0.703864502377552,5.63406163882975,3.74617164365578,0.00121391463894952,0.270933261712228,-0.864180964149071,"ARHGAP21"
"PNRC2",0.936526486956839,7.5559482733082,3.74573011517761,0.00121518245689179,0.270933261712228,-0.865036370520765,"PNRC2"
"CTTN",0.423096369477555,3.57244614021409,3.74093562792991,0.00122903416191868,0.270933261712228,-0.87432474535836,"CTTN"
"MOB1B",0.486611771195784,4.10781553044746,3.73354673292671,0.00125068791723232,0.270933261712228,-0.888637998859468,"MOB1B"
"OXR1",0.545721458910577,4.66165732494369,3.73245511031317,0.00125391885312877,0.270933261712228,-0.890752479489352,"OXR1"
"ZSWIM1",0.714875747839639,5.10283233245597,3.72882254007646,0.00126472995612555,0.270933261712228,-0.897788537456845,"ZSWIM1"
"SLC12A2",0.403000736820688,3.71491294966383,3.7192540509082,0.00129365067025122,0.272145260374349,-0.916320156199294,"SLC12A2"
"TIMM10",0.816351819336154,5.83908276911471,3.71846909669732,0.00129605202271828,0.272145260374349,-0.917840275724575,"TIMM10"
